                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.16424,                  1.034,                0.12197,                0.14347,                0.92034,                0.99842,                      1,                  0.995,                0.98489,                0.99842,                      1,                  0.995,                0.76974,                0.25916,                 0.9191,                0.12272,                0.19101,                 0.5314,              0.0017545,              0.0017545,              0.0017545
                     64,                0.16952,                 1.2548,                0.12284,                0.14828,                0.92592,                0.99844,                      1,                  0.995,                0.98583,                0.99844,                      1,                  0.995,                0.66666,                0.28322,                 1.2064,                0.13163,                 0.1946,                0.55956,              0.0017505,              0.0017505,              0.0017505
                     65,                0.16234,                 1.3126,                0.12339,                0.14158,                0.91757,                 0.9981,                      1,                  0.995,                0.99076,                 0.9981,                      1,                  0.995,                0.80476,                0.22079,                0.87477,                0.12576,                 0.1853,                0.49769,              0.0017466,              0.0017466,              0.0017466
                     66,                    inf,                 1.0835,                0.12196,                0.12891,                0.90295,                0.99845,                      1,                  0.995,                0.98208,                0.99845,                      1,                  0.995,                 0.8175,                0.28664,                0.83774,                0.12204,                0.17292,                0.57477,              0.0017426,              0.0017426,              0.0017426
                     67,                0.15699,                0.98532,                0.11922,                 0.1351,                0.90914,                      1,                0.99859,                  0.995,                0.98314,                0.99826,                0.97059,                0.98283,                0.82478,                0.34781,                 0.9945,                  0.117,                0.22691,                0.61579,              0.0017386,              0.0017386,              0.0017386
                     68,                0.15219,                0.96984,                0.11764,                0.13407,                0.91465,                0.99824,                      1,                  0.995,                0.99016,                0.99824,                      1,                  0.995,                0.84456,                0.24136,                 0.7486,                0.10516,                0.20359,                  0.512,              0.0017347,              0.0017347,              0.0017347
                     69,                0.16793,                 1.0132,                0.11762,                0.14278,                0.92912,                0.99618,                      1,                  0.995,                  0.995,                0.99618,                      1,                  0.995,                0.77867,                0.19364,                0.92239,                0.12398,                 0.2043,                0.45729,              0.0017307,              0.0017307,              0.0017307
                     70,                0.17043,                 1.1505,                0.11963,                0.14606,                0.92625,                0.99843,                      1,                  0.995,                0.99354,                0.99843,                      1,                  0.995,                0.81404,                 0.2347,                0.86031,                0.13339,                0.21021,                0.49942,              0.0017268,              0.0017268,              0.0017268
                     71,                  0.161,                 1.0211,                0.11575,                0.14457,                0.90521,                0.99844,                      1,                  0.995,                  0.995,                0.99844,                      1,                  0.995,                0.75642,                0.19107,                0.95103,                 0.1358,                0.17273,                0.45765,              0.0017228,              0.0017228,              0.0017228
                     72,                0.16583,                 1.0289,                0.11594,                0.14582,                0.91846,                0.99846,                      1,                  0.995,                0.99329,                0.99846,                      1,                  0.995,                0.82178,                0.24668,                0.82214,                0.13063,                0.21307,                0.50251,              0.0017188,              0.0017188,              0.0017188
                     73,                0.15709,                0.97607,                0.11938,                   0.14,                0.90981,                0.99848,                      1,                  0.995,                0.99312,                0.99848,                      1,                  0.995,                0.84618,                0.21704,                0.72859,                0.11727,                0.24173,                0.47977,              0.0017149,              0.0017149,              0.0017149
                     74,                0.16574,                0.91776,                 0.1207,                0.14398,                0.91117,                0.99848,                      1,                  0.995,                 0.9932,                0.99848,                      1,                  0.995,                0.76051,                0.20563,                0.95997,                0.11909,                0.18609,                0.47352,              0.0017109,              0.0017109,              0.0017109
                     75,                0.15395,                 1.0425,                0.11682,                 0.1429,                0.91984,                0.99836,                      1,                  0.995,                0.98521,                0.99836,                      1,                  0.995,                0.80616,                0.30923,                0.99198,                0.11537,                0.20345,                0.57679,               0.001707,               0.001707,               0.001707
                     76,                0.16227,                 1.0852,                0.11451,                0.14444,                0.91529,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                0.82989,                 0.2474,                0.84204,                0.11201,                0.22295,                 0.5182,               0.001703,               0.001703,               0.001703
                     77,                0.16122,                 1.0233,                0.11805,                   0.14,                0.91908,                      1,                      1,                  0.995,                0.99185,                      1,                      1,                  0.995,                0.79838,                0.33297,                0.90402,                0.13692,                0.24594,                 0.6165,               0.001699,               0.001699,               0.001699
                     78,                0.16113,                0.97393,                0.11843,                0.13896,                0.91644,                 0.9985,                      1,                  0.995,                0.98389,                 0.9985,                      1,                  0.995,                0.73495,                0.28248,                 1.0951,                0.13933,                0.21822,                0.56341,              0.0016951,              0.0016951,              0.0016951
                     79,                0.15525,                0.84977,                0.11666,                0.13383,                0.90689,                0.99747,                      1,                  0.995,                0.98765,                0.99747,                      1,                  0.995,                0.86444,                0.23706,                0.61111,                0.11303,                0.19459,                0.53671,              0.0016911,              0.0016911,              0.0016911
                     80,                0.15667,                0.94369,                0.10978,                0.13332,                0.91185,                0.99847,                      1,                  0.995,                0.97853,                0.99847,                      1,                  0.995,                0.82251,                0.25171,                0.77454,                0.11892,                0.21376,                0.53085,              0.0016872,              0.0016872,              0.0016872
                     81,                 0.1443,                0.97105,                0.11486,                0.13275,                 0.9075,                 0.9985,                      1,                  0.995,                0.98758,                 0.9985,                      1,                  0.995,                0.86893,                0.23286,                0.60914,                0.10704,                0.19725,                0.51726,              0.0016832,              0.0016832,              0.0016832
                     82,                0.13409,                0.90801,                 0.1117,                0.12281,                0.90595,                0.99849,                      1,                  0.995,                0.98928,                0.99849,                      1,                  0.995,                  0.887,                0.22011,                0.60969,                0.11368,                0.18768,                0.50178,              0.0016792,              0.0016792,              0.0016792
                     83,                0.14373,                 1.0628,                0.11002,                0.12918,                0.91599,                0.99846,                      1,                  0.995,                0.98524,                0.99846,                      1,                  0.995,                0.86676,                0.24051,                0.69162,                 0.1144,                0.18239,                0.50595,              0.0016753,              0.0016753,              0.0016753
                     84,                0.13632,                0.99225,                0.10779,                0.12625,                0.90998,                0.99848,                      1,                  0.995,                0.98969,                0.99848,                      1,                  0.995,                0.84623,                0.23302,                0.73757,                0.11067,                 0.2007,                0.52178,              0.0016713,              0.0016713,              0.0016713
                     85,                0.13995,                0.88706,                0.11652,                0.12833,                0.89972,                0.99848,                      1,                  0.995,                0.99023,                0.99848,                      1,                  0.995,                 0.8506,                0.20591,                0.73313,                0.10662,                0.20002,                0.49652,              0.0016674,              0.0016674,              0.0016674
                     86,                0.14223,                0.90083,                0.11702,                0.12861,                0.90077,                0.99848,                      1,                  0.995,                  0.995,                0.99848,                      1,                  0.995,                0.90464,                  0.215,                0.55392,                0.12255,                0.18501,                 0.4879,              0.0016634,              0.0016634,              0.0016634
                     87,                0.14017,                0.82529,                0.11468,                0.12338,                0.90193,                0.99849,                      1,                  0.995,                0.99252,                0.99849,                      1,                  0.995,                0.86544,                0.20914,                0.73228,                0.11384,                 0.1956,                0.48355,              0.0016594,              0.0016594,              0.0016594
